doc_id,entity_text,gold_id
11532192,pigmented,CHEBI:26130
11532192,aqueous,CHEBI:15377
11532192,aqueous,CHEBI:15377
11532192,Pigment,CHEBI:26130
11532192,Aqueous,CHEBI:15377
11532192,ketamine,CHEBI:6121
11532192,ketamine,CHEBI:6121
11532192,anesthetic,CHEBI:38867
11532192,ketamine,CHEBI:6121
11532192,pigmented,CHEBI:26130
11532192,pigmented,CHEBI:26130
11532192,pigmented,CHEBI:26130
11532192,pigmented,CHEBI:26130
11532192,aqueous,CHEBI:15377
11532192,anesthetic agents,CHEBI:38867
11532192,Ketamine,CHEBI:6121
11532192,ketamine,CHEBI:6121
11532192,ketamine,CHEBI:6121
11532192,ketamine,CHEBI:6121
11532192,ketamine,CHEBI:6121
11532192,ketamine,CHEBI:6121
11532192,drug,CHEBI:23888
11532192,terpenes,CHEBI:35186
11532192,Terpene,CHEBI:35186
11532192,terpenes,CHEBI:35186
11532192,drug,CHEBI:23888
11532192,anesthetic agents,CHEBI:38867
11532192,aqueous,CHEBI:15377
11532192,aqueous,CHEBI:15377
11532192,Bicarbonate,CHEBI:17544
11532192,aqueous,CHEBI:15377
11532192,aqueous,CHEBI:15377
11532192,aqueous,CHEBI:15377
11532192,aqueous,CHEBI:15377
11532192,pigment,CHEBI:26130
11532192,pigmented,CHEBI:26130
11532192,pigmented,CHEBI:26130
11532192,pigmented,CHEBI:26130
11532192,chow,CHEBI:33290
11532192,water,CHEBI:15377
11532192,chow,CHEBI:33290
11532192,anesthetic agents,CHEBI:38867
11532192,acid,CHEBI:37527
11532192,alcohol,CHEBI:30879
11532192,formalin,CHEBI:16842
11532192,fixative,CHEBI:50913
11597317,DNA damaging agents,CHEBI:50902
11597317,inhibitor,CHEBI:35222
11597317,electron,CHEBI:10545
11897010,cation,CHEBI:36916
11897010,ion,CHEBI:24870
11897010,mucopolysaccharide,CHEBI:37395
11897010,electron,CHEBI:10545
11897010,cation,CHEBI:36916
11897010,message,CHEBI:33695
11897010,message,CHEBI:33695
11897010,cation,CHEBI:36916
11897010,glycoprotein,CHEBI:17089
11897010,agarose,CHEBI:2511
11897010,32P,CHEBI:37972
11897010,32P,CHEBI:37972
12079497,chromogenic,CHEBI:75050
12079497,chromogenic,CHEBI:75050
12079497,globin,CHEBI:5386
12079497,drug,CHEBI:23888
12079497,drug,CHEBI:23888
12546709,electron,CHEBI:10545
12546709,solution,CHEBI:75958
12546709,electron,CHEBI:10545
12546709,fixative,CHEBI:50913
12546709,glutaraldehyde,CHEBI:64276
12546709,sodium cacodylate,CHEBI:62956
12546709,glutaraldehyde,CHEBI:64276
12546709,sodium cacodylate,CHEBI:62956
12546709,Tris,CHEBI:9754
12546709,Tris,CHEBI:9754
12546709,NaCl,CHEBI:26710
12546709,lipid,CHEBI:18059
12546709,"1,1'-dioctadecyl-3,3,3',3'-tetramethylindocarbocyanine perchlorate",CHEBI:52029
12546709,DiI,CHEBI:52029
12546709,DiIC18,CHEBI:52029
12546709,Tris,CHEBI:9754
12546709,DiI,CHEBI:52029
12546709,electron,CHEBI:10545
12546709,glutaraldehyde,CHEBI:64276
12546709,sodium cacodylate,CHEBI:62956
12546709,water,CHEBI:15377
12546709,aqueous,CHEBI:15377
12546709,ethanol,CHEBI:16236
12546709,ethanol,CHEBI:16236
12546709,carbon dioxide,CHEBI:16526
12546709,electron,CHEBI:10545
12546709,DiI,CHEBI:52029
12546709,DiI,CHEBI:52029
12546709,DiI,CHEBI:52029
12546709,DiI,CHEBI:52029
12546709,lipid,CHEBI:18059
12546709,electron,CHEBI:10545
12546709,aqueous,CHEBI:15377
12546709,electron,CHEBI:10545
12585968,DiI,CHEBI:52029
12585968,DiI,CHEBI:52029
12585968,DiI,CHEBI:52029
12585968,DiI,CHEBI:52029
12585968,DiI,CHEBI:52029
12585968,DiA,CHEBI:52024
12585968,DiI,CHEBI:52029
12585968,DiA,CHEBI:52024
12585968,DiI,CHEBI:52029
12585968,DiI,CHEBI:52029
12585968,pentobarbital,CHEBI:7983
12585968,fixative,CHEBI:50913
12585968,DiI,CHEBI:52029
12585968,DiI,CHEBI:52029
12585968,dye,CHEBI:37958
12585968,DiI,CHEBI:52029
12585968,H2O2,CHEBI:16240
12585968,DiI,CHEBI:52029
12585968,DiA,CHEBI:52024
12585968,gelatin,CHEBI:5291
12585968,Cresyl Violet,CHEBI:52815
12925238,Ca2+,CHEBI:29108
12925238,phospholipid,CHEBI:16247
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,phospholipid,CHEBI:16247
12925238,phospholipid,CHEBI:16247
12925238,Ca2+,CHEBI:29108
12925238,catecholamines,CHEBI:33567
12925238,Ca2+,CHEBI:29108
12925238,phospholipid,CHEBI:16247
12925238,negatively charged phospholipids,CHEBI:62643
12925238,Ca2+ ions,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,lipid,CHEBI:18059
12925238,Lipid,CHEBI:18059
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,ryanodine,CHEBI:8925
12925238,ryanodine,CHEBI:8925
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,molecules,CHEBI:36357
12925238,molecule,CHEBI:36357
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,Ca2+,CHEBI:29108
12925238,cholesterol,CHEBI:16113
