Cargo,Cargo_CHEBI_label,Cargo_CHEBI_id,exact_curie,biosyn_curie,rag_curie
5(6)-carboxyfluorescein (FAM) dye,5(6)-carboxyfluorescein,CHEBI:138465,CHEBI:138465,CHEBI:138465,CHEBI:138465
5(6)âcarboxy-fluorescein (Cf) on C-terminal lysin,5(6)-carboxyfluorescein,CHEBI:138465,,CHEBI:138460,CHEBI:138460
"5[6]-carboxyfluorescein and Bevacizumab and ranibizumab , anti-VEGF antibodies",5(6)-carboxyfluorescein,CHEBI:138465,,CHEBI:217315,CHEBI:138465
AlexaFluor 546 (AF546) fluorescent dye,Alexa Fluor 546,CHEBI:51760,,CHEBI:51760,CHEBI:51760
Amyloidogenic fragment (AF) at N terminal,amyloid-beta,CHEBI:64645,,CHEBI:158407,CHEBI:158407
Antisense oligonucleotides (Cy3âAON),antisense oligonucleotide,CHEBI:76720,,CHEBI:76720,CHEBI:76720
"Aurein 1,2 (Aur) and Aurein 1,2_mutant (Aurm)",,NIL,,CHEBI:144786,CHEBI:144786
"BSA, FAM and Nile red labelled liposome (PenHA-Lip) loaded with Conbercept(Conb)",albumin type,CHEBI:166964,,CHEBI:208823,CHEBI:208823
Bim and IL-23A mRNA,messenger RNA,CHEBI:33699,CHEBI:33173,CHEBI:33173,CHEBI:33173
Celecoxib (CXB),celecoxib,CHEBI:41423,CHEBI:41423,CHEBI:41423,CHEBI:41423
Cx43(266â283),,NIL,,CHEBI:177533,CHEBI:177533
Cy3b-labeled siRNA,Cy3B dye NHS ester,CHEBI:52004,,CHEBI:52004,CHEBI:52004
Cy5 or rhodamine dye,Cy5 dye,CHEBI:37989,CHEBI:37989,CHEBI:37989,CHEBI:37989
Dextran  and IgG- labelled with Alexa Fluor 488,dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071,CHEBI:52071
EGFP and MAP 30 protein,protein,CHEBI:36080,,CHEBI:53197,CHEBI:53197
EVs and saporin (SAP),,NIL,,CHEBI:134888,CHEBI:134888
Epirubicin (EPR),epirubicin hydrochloride,CHEBI:232543,CHEBI:47898,CHEBI:47898,CHEBI:47898
Exosomes and FAM-tagged G3139-CHOlesterol (18-mer ASO),fluorescein isothiocyanate,CHEBI:37926,,CHEBI:157661,CHEBI:157661
FAM via glycylglycine linker at N terminus,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:58479,CHEBI:58479
