entity_text,gold_id,ols_exact,ols_top
pigmented,CHEBI:26130,,CHEBI:26130
aqueous,CHEBI:15377,,CHEBI:5948
aqueous,CHEBI:15377,,CHEBI:5948
Pigment,CHEBI:26130,,CHEBI:26130
Aqueous,CHEBI:15377,,CHEBI:5948
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
anesthetic,CHEBI:38867,,CHEBI:38867
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
pigmented,CHEBI:26130,,CHEBI:26130
pigmented,CHEBI:26130,,CHEBI:26130
pigmented,CHEBI:26130,,CHEBI:26130
pigmented,CHEBI:26130,,CHEBI:26130
aqueous,CHEBI:15377,,CHEBI:5948
anesthetic agents,CHEBI:38867,,CHEBI:38867
Ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
terpenes,CHEBI:35186,,CHEBI:26873
Terpene,CHEBI:35186,CHEBI:35186,CHEBI:26873
terpenes,CHEBI:35186,,CHEBI:26873
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
anesthetic agents,CHEBI:38867,,CHEBI:38867
aqueous,CHEBI:15377,,CHEBI:5948
aqueous,CHEBI:15377,,CHEBI:5948
Bicarbonate,CHEBI:17544,,CHEBI:140315
aqueous,CHEBI:15377,,CHEBI:5948
aqueous,CHEBI:15377,,CHEBI:5948
aqueous,CHEBI:15377,,CHEBI:5948
aqueous,CHEBI:15377,,CHEBI:5948
pigment,CHEBI:26130,,CHEBI:26130
pigmented,CHEBI:26130,,CHEBI:26130
pigmented,CHEBI:26130,,CHEBI:26130
pigmented,CHEBI:26130,,CHEBI:26130
chow,CHEBI:33290,,
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
chow,CHEBI:33290,,
anesthetic agents,CHEBI:38867,,CHEBI:38867
acid,CHEBI:37527,CHEBI:37527,CHEBI:37527
alcohol,CHEBI:30879,CHEBI:30879,CHEBI:30879
formalin,CHEBI:16842,,CHEBI:16842
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
DNA damaging agents,CHEBI:50902,,CHEBI:50902
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
mucopolysaccharide,CHEBI:37395,CHEBI:37395,CHEBI:37395
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
message,CHEBI:33695,,CHEBI:6783
message,CHEBI:33695,,CHEBI:6783
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
glycoprotein,CHEBI:17089,CHEBI:17089,CHEBI:17089
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
32P,CHEBI:37972,,
32P,CHEBI:37972,,
chromogenic,CHEBI:75050,,CHEBI:75050
chromogenic,CHEBI:75050,,CHEBI:75050
globin,CHEBI:5386,CHEBI:5386,CHEBI:5386
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
sodium cacodylate,CHEBI:62956,,CHEBI:62956
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
sodium cacodylate,CHEBI:62956,,CHEBI:62956
Tris,CHEBI:9754,CHEBI:9754,CHEBI:27090
Tris,CHEBI:9754,CHEBI:9754,CHEBI:27090
NaCl,CHEBI:26710,,CHEBI:132103
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
"1,1'-dioctadecyl-3,3,3',3'-tetramethylindocarbocyanine perchlorate",CHEBI:52029,,
DiI,CHEBI:52029,,CHEBI:60993
DiIC18,CHEBI:52029,,CHEBI:52033
Tris,CHEBI:9754,CHEBI:9754,CHEBI:27090
DiI,CHEBI:52029,,CHEBI:60993
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
sodium cacodylate,CHEBI:62956,,CHEBI:62956
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
aqueous,CHEBI:15377,,CHEBI:5948
ethanol,CHEBI:16236,CHEBI:16236,CHEBI:16236
ethanol,CHEBI:16236,CHEBI:16236,CHEBI:16236
carbon dioxide,CHEBI:16526,AFO:I_16526,AFO:I_16526
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
aqueous,CHEBI:15377,,CHEBI:5948
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
DiA,CHEBI:52024,,CHEBI:59063
DiI,CHEBI:52029,,CHEBI:60993
DiA,CHEBI:52024,,CHEBI:59063
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
pentobarbital,CHEBI:7983,CHEBI:7983,CHEBI:7983
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
DiI,CHEBI:52029,,CHEBI:60993
DiI,CHEBI:52029,,CHEBI:60993
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
DiI,CHEBI:52029,,CHEBI:60993
H2O2,CHEBI:16240,,CHEBI:50423
DiI,CHEBI:52029,,CHEBI:60993
DiA,CHEBI:52024,,CHEBI:59063
gelatin,CHEBI:5291,CHEBI:5291,CHEBI:5291
Cresyl Violet,CHEBI:52815,CHEBI:52815,CHEBI:51943
Ca2+,CHEBI:29108,,CHEBI:224236
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+,CHEBI:29108,,CHEBI:224236
catecholamines,CHEBI:33567,,CHEBI:33567
Ca2+,CHEBI:29108,,CHEBI:224236
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
negatively charged phospholipids,CHEBI:62643,,CHEBI:62643
Ca2+ ions,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
Lipid,CHEBI:18059,CHEBI:18059,CHEBI:35679
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
ryanodine,CHEBI:8925,CHEBI:8925,CHEBI:8925
ryanodine,CHEBI:8925,CHEBI:8925,CHEBI:8925
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
molecules,CHEBI:36357,,CHEBI:76741
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sphingolipid,CHEBI:26739,CHEBI:26739,CHEBI:26739
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
SDS,CHEBI:8984,,CHEBI:8984
acrylamide,CHEBI:28619,CHEBI:28619,CHEBI:28619
Ca2+,CHEBI:29108,,CHEBI:224236
ionophore,CHEBI:24869,CHEBI:24869,CHEBI:24869
acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
Ca2+,CHEBI:29108,,CHEBI:224236
ionophore,CHEBI:24869,CHEBI:24869,CHEBI:24869
acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
ionic,CHEBI:24870,,CHEBI:63895
sodium chloride,CHEBI:26710,CHEBI:26710,CHEBI:26710
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
NaCl,CHEBI:26710,,CHEBI:132103
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
NaCl,CHEBI:26710,,CHEBI:132103
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
NaCl,CHEBI:26710,,CHEBI:132103
NaCl,CHEBI:26710,,CHEBI:132103
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
ionic,CHEBI:24870,,CHEBI:63895
sodium chloride,CHEBI:26710,CHEBI:26710,CHEBI:26710
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
ristocetin,CHEBI:85129,CHEBI:85129,CHEBI:85129
cofactor,CHEBI:23357,CHEBI:23357,CHEBI:23357
ristocetin,CHEBI:85129,CHEBI:85129,CHEBI:85129
sphingolipids,CHEBI:26739,,CHEBI:82820
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
phospholipids,CHEBI:16247,,CHEBI:77747
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
Triton X-100,CHEBI:9750,,
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
Ca2+,CHEBI:29108,,CHEBI:224236
ionic,CHEBI:24870,,CHEBI:63895
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
Ca2+,CHEBI:29108,,CHEBI:224236
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+ ions,CHEBI:29108,,CHEBI:29108
thrombin,CHEBI:9574,CHEBI:9574,CHEBI:65232
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
Ca2+,CHEBI:29108,,CHEBI:224236
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
Ca2+,CHEBI:29108,,CHEBI:224236
food,CHEBI:33290,CHEBI:33290,CHEBI:33290
anaesthetic chemicals,CHEBI:38867,,
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
Hepes,CHEBI:46756,,CHEBI:131874
CaCl2,CHEBI:3312,,CHEBI:3312
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
Hepes,CHEBI:46756,,CHEBI:131874
CaCl2,CHEBI:3312,,CHEBI:3312
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
mixture,CHEBI:60004,CHEBI:60004,CHEBI:60004
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
Ca2+,CHEBI:29108,,CHEBI:224236
heparin,CHEBI:28304,CHEBI:28304,CHEBI:28304
Hepes,CHEBI:46756,,CHEBI:131874
NaCl,CHEBI:26710,,CHEBI:132103
Hepes,CHEBI:46756,,CHEBI:131874
NaCl,CHEBI:26710,,CHEBI:132103
CaCl2,CHEBI:3312,,CHEBI:3312
Ca2+,CHEBI:29108,,CHEBI:224236
ionophore,CHEBI:24869,CHEBI:24869,CHEBI:24869
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
Acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:38462
Hepes,CHEBI:46756,,CHEBI:131874
NaCl,CHEBI:26710,,CHEBI:132103
Triton X-100,CHEBI:9750,,
sodium phosphate,CHEBI:37586,CHEBI:37586,CHEBI:37586
DTNB,CHEBI:86228,,CHEBI:86228
"5,5'-dithiobis-(2-nitrobenzoic acid",CHEBI:86228,,CHEBI:86228
sodium phosphate,CHEBI:37586,CHEBI:37586,CHEBI:37586
H2O,CHEBI:15377,,CHEBI:50423
Na2HPO4,CHEBI:34683,,CHEBI:34683
NaH2PO4,CHEBI:37585,,CHEBI:37585
NaCl,CHEBI:26710,,CHEBI:132103
NaCl,CHEBI:26710,,CHEBI:132103
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
Hepes,CHEBI:46756,,CHEBI:131874
NaCl,CHEBI:26710,,CHEBI:132103
ristocetin,CHEBI:85129,CHEBI:85129,CHEBI:85129
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
reagent,CHEBI:33893,CHEBI:33893,CHEBI:33893
SDS,CHEBI:8984,,CHEBI:8984
inhibitors,CHEBI:35222,,CHEBI:62434
oxyanion,CHEBI:35406,,
inhibitors,CHEBI:35222,,CHEBI:62434
inhibitors,CHEBI:35222,,CHEBI:62434
