entity_text,gold_id,bio_pref,bio_all
pigmented,CHEBI:26130,,CHEBI:151129
aqueous,CHEBI:15377,,
aqueous,CHEBI:15377,,
Pigment,CHEBI:26130,,
Aqueous,CHEBI:15377,,
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
anesthetic,CHEBI:38867,,CHEBI:53454
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
aqueous,CHEBI:15377,,
anesthetic agents,CHEBI:38867,,CHEBI:38867
Ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
ketamine,CHEBI:6121,CHEBI:6121,CHEBI:6121
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
terpenes,CHEBI:35186,,CHEBI:35186
Terpene,CHEBI:35186,CHEBI:35186,CHEBI:35186
terpenes,CHEBI:35186,,CHEBI:35186
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
anesthetic agents,CHEBI:38867,,CHEBI:38867
aqueous,CHEBI:15377,,
aqueous,CHEBI:15377,,
Bicarbonate,CHEBI:17544,,CHEBI:17544
aqueous,CHEBI:15377,,
aqueous,CHEBI:15377,,
aqueous,CHEBI:15377,,
aqueous,CHEBI:15377,,
pigment,CHEBI:26130,,
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
chow,CHEBI:33290,,
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
chow,CHEBI:33290,,
anesthetic agents,CHEBI:38867,,CHEBI:38867
acid,CHEBI:37527,CHEBI:37527,CHEBI:37527
alcohol,CHEBI:30879,CHEBI:30879,CHEBI:16236;CHEBI:30879
formalin,CHEBI:16842,,CHEBI:16842
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
DNA damaging agents,CHEBI:50902,,CHEBI:16991;CHEBI:4480;CHEBI:84123
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
mucopolysaccharide,CHEBI:37395,CHEBI:37395,CHEBI:37395
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
message,CHEBI:33695,CHEBI:39010,CHEBI:138438;CHEBI:39005;CHEBI:39010;CHEBI:84123
message,CHEBI:33695,CHEBI:39010,CHEBI:138438;CHEBI:39005;CHEBI:39010;CHEBI:84123
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
glycoprotein,CHEBI:17089,CHEBI:17089,CHEBI:17089
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
32P,CHEBI:37972,,
32P,CHEBI:37972,,
chromogenic,CHEBI:75050,,CHEBI:75050
chromogenic,CHEBI:75050,,CHEBI:75050
globin,CHEBI:5386,CHEBI:5386,CHEBI:5386
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
